cui,type,name
C4279968,orgf,Anaerobic Metabolism
C4328955,orgf,superinfection exclusion
C4329011,orgf,primary adaptive immune response
C4329013,orgf,adaptive immune effector response
C4505136,orgf,Immune Privilege
C4505207,orgf,Immune Reconstitution
C4551641,orgf,Pleomorphism
C4553086,orgf,Heat Shock Stress
C4553421,orgf,cold-induced thermogenesis
C4690859,orgf,large intestinal transit
C4704762,orgf,Salt Stress
C4704854,orgf,Phenotypic Plasticity
C4704948,orgf,Cold Shock Stress
