cui,type,name
C0020664,bpoc,"Hypothalamus, Anterior"
C0020669,bpoc,"Hypothalamus, Middle"
C0020670,bpoc,Posterior Hypothalamic Region
C0020880,bpoc,Ileocecal Valve
C0020885,bpoc,ileum
C0020887,bpoc,Structure of iliac artery
C0020888,bpoc,Iliac Vein
C0020889,bpoc,Bone structure of ilium
C0021156,bpoc,Incisor
C0021358,bpoc,Inferior Colliculus
C0021640,bpoc,Insula of Reil
C0021724,bpoc,Structure of intercostal muscle
C0021815,bpoc,Intervertebral disc structure
C0021851,bpoc,Large Intestine
C0021852,bpoc,"Intestines, Small"
C0021853,bpoc,Intestines
C0022077,bpoc,Iris (Eye)
C0022122,bpoc,Bone structure of ischium
C0022131,bpoc,Islets of Langerhans
C0022359,bpoc,Jaw
C0022378,bpoc,Jejunum
C0022427,bpoc,Structure of jugular vein
C0022445,bpoc,Juxtaglomerular Apparatus
C0022646,bpoc,Kidney
C0022655,bpoc,Structure of cortex of kidney
C0022663,bpoc,Kidney Glomerulus
C0022664,bpoc,Structure of medulla of kidney
C0022666,bpoc,Kidney Papilla
C0022674,bpoc,Renal tubule structure
C0022675,bpoc,Structure of collecting tubule
C0022676,bpoc,Distal convoluted renal tubule structure
C0022677,bpoc,"Kidney Tubules, Proximal"
C0022742,bpoc,Knee
C0022889,bpoc,Labyrinth
C0022903,bpoc,Lacrimal Apparatus
C0022907,bpoc,Lacrimal gland structure
C0023050,bpoc,Laryngeal cartilage
C0023054,bpoc,Laryngeal muscle structure
C0023056,bpoc,Laryngeal Nerves
C0023078,bpoc,Larynx
C0023079,bpoc,laryngo-pharyngeal
C0023216,bpoc,Lower Extremity
C0023317,bpoc,"Lens, Crystalline"
C0023686,bpoc,Articular ligaments
C0023759,bpoc,Lip structure
C0023884,bpoc,Liver
C0023951,bpoc,Structure of locus ceruleus
C0024091,bpoc,Bone structure of lumbar vertebra
C0024109,bpoc,Lung
C0024204,bpoc,lymph nodes
C0024496,bpoc,Main Bronchus
C0024631,bpoc,Malleus
C0024648,bpoc,Malpighian Tubules
C0024659,bpoc,"Mammary Glands, Animal"
C0024670,bpoc,Mammillary body structure
C0024687,bpoc,Mandible
C0024688,bpoc,Mandibular Condyle
C0024764,bpoc,Bone structure of manubrium
C0024876,bpoc,Masseter muscle structure
C0024890,bpoc,Masticatory muscles
C0024947,bpoc,Maxilla
C0025055,bpoc,Structure of median forebrain bundle
C0025056,bpoc,Median eminence of hypothalamus
C0025058,bpoc,Structure of median nerve
C0025148,bpoc,Medulla Oblongata
C0025181,bpoc,Structure of meibomian gland
C0025283,bpoc,Meningeal Arteries
C0025285,bpoc,Meninges
C0025462,bpoc,Midbrain structure
C0025465,bpoc,Mesenteric Arteries
C0025473,bpoc,Structure of mesenteric vein
C0025483,bpoc,Mesocolon
C0025526,bpoc,Metacarpal bone
C0025584,bpoc,Metatarsal bone structure
C0026264,bpoc,Mitral Valve
C0026367,bpoc,Molar tooth
C0026369,bpoc,Structure of wisdom tooth
C0026639,bpoc,Oral mucous membrane structure
C0027028,bpoc,Myenteric Plexus
C0027088,bpoc,myometrium
C0027342,bpoc,Nail plate
C0027422,bpoc,Nasal bone structure
C0027432,bpoc,Nasal septum structure
C0027437,bpoc,Nasolacrimal duct structure
C0027442,bpoc,Nasopharynx
C0027532,bpoc,Skeletal muscle structure of neck
C0027713,bpoc,Nephrons
C0027740,bpoc,Nerve
C0027755,bpoc,Nerve Net
C0027792,bpoc,Neural Pathways
C0028058,bpoc,Nictitating Membrane
C0028109,bpoc,Nipples
C0028246,bpoc,Nociceptors
C0028252,bpoc,Nodose Ganglion
C0028429,bpoc,Nose
C0028633,bpoc,Nucleus Accumbens
C0028785,bpoc,Occipital lobe
C0028863,bpoc,Muscle of orbit
C0028864,bpoc,Oculomotor nerve structure
C0028881,bpoc,Structure of odontoid process of axis
C0028936,bpoc,Structure of olfactory bulb
C0028938,bpoc,Olfactory Nerve
C0028939,bpoc,Olfactory Pathways
C0028972,bpoc,Omasum
C0028977,bpoc,Omentum
C0029078,bpoc,Structure of ophthalmic artery
C0029126,bpoc,Optic Chiasms
C0029127,bpoc,Optic Disk
C0029130,bpoc,Optic Nerve
C0029894,bpoc,Structure of otoconia
C0029939,bpoc,Ovary
C0029954,bpoc,animal Oviduct
C0030219,bpoc,"Palate, Soft"
C0030274,bpoc,Pancreas
C0030288,bpoc,Pancreatic duct
C0030352,bpoc,Structure of papillary muscle
C0030518,bpoc,Parathyroid gland
C0030532,bpoc,Structure of paraventricular nucleus
C0030558,bpoc,Parietal bone structure
C0030560,bpoc,Parietal Lobe
C0030580,bpoc,Parotid Gland
C0030647,bpoc,Patella
C0030747,bpoc,Pectoralis Muscles
C0030786,bpoc,Hip Bone
C0030797,bpoc,Pelvis
C0030851,bpoc,penis
C0031050,bpoc,Pericardial sac structure
C0031093,bpoc,Periodontal Ligament
C0031119,bpoc,Peripheral Nerves
C0031173,bpoc,Structure of common peroneal nerve
C0031266,bpoc,Structure of petrous part of temporal bone
C0031272,bpoc,Structure of aggregated lymphoid follicle of small intestine
C0031346,bpoc,Muscle structure of pharynx
C0031354,bpoc,Pharyngeal structure
C0031774,bpoc,Structure of phrenic nerve
C0031869,bpoc,Pia Mater
C0031939,bpoc,Pineal gland
C0032005,bpoc,Pituitary Gland
C0032008,bpoc,"Pituitary Gland, Anterior"
C0032009,bpoc,"Pituitary Gland, Posterior"
C0032639,bpoc,Pontine structure
C0032649,bpoc,Structure of popliteal artery
C0032652,bpoc,Structure of popliteal vein
C0032717,bpoc,Portal System
C0032718,bpoc,Portal vein structure
C0033063,bpoc,Preoptic Areas
C0033093,bpoc,Pressoreceptors
C0033572,bpoc,Prostate
C0033745,bpoc,Proventriculus
C0034014,bpoc,Bone structure of pubis
C0034051,bpoc,Pulmonary alveolar structure
C0034052,bpoc,Pulmonary artery structure
C0034083,bpoc,Pulmonary Stretch Receptors
C0034086,bpoc,Pulmonary valve structure
C0034090,bpoc,Pulmonary veins
C0034121,bpoc,Pupil
C0034193,bpoc,Pyloric antrum
C0034196,bpoc,Pylorus
C0034229,bpoc,Pyramidal Tracts
C0034518,bpoc,Structure of radial nerve
C0034627,bpoc,Bone structure of radius
C0034671,bpoc,raphe nuclei
C0034841,bpoc,Stretch Receptors
C0034896,bpoc,Rectum
C0034898,bpoc,Recurrent Laryngeal Nerve
C0035065,bpoc,Structure of renal artery
C0035092,bpoc,Structure of renal vein
C0035216,bpoc,Respiratory Center
C0035231,bpoc,Respiratory Muscles
C0035284,bpoc,Reticular Formation
C0035295,bpoc,Reticulum
C0035298,bpoc,Retina
C0035301,bpoc,Structure of central retinal artery
C0035322,bpoc,Structure of retinal pigment epithelium
C0035327,bpoc,Structure of central vein of the retina
C0035330,bpoc,Structure of blood vessel of retina
C0035507,bpoc,hindbrain
C0035561,bpoc,Bone structure of rib
C0035946,bpoc,Rumen
C0036029,bpoc,Saccule structure
C0036037,bpoc,Bone structure of sacrum
C0036098,bpoc,Salivary Glands
C0036099,bpoc,Minor salivary gland structure
C0036186,bpoc,Saphenous Vein
C0036270,bpoc,Scalp structure
C0036277,bpoc,Bone structure of scapula
C0036286,bpoc,Vestibular ganglion
C0036294,bpoc,Scent Glands
C0036394,bpoc,Structure of sciatic nerve
C0036410,bpoc,Sclera
C0036471,bpoc,Scrotum
C0036505,bpoc,Sebaceous Glands
C0036609,bpoc,Structure of pituitary fossa
C0036624,bpoc,Semilunar Bone
C0036628,bpoc,Seminal Vesicles
C0036630,bpoc,Seminiferous tubule structure
C0036665,bpoc,Sense Organs
C0036687,bpoc,Septal Nuclei
C0037189,bpoc,Sinoatrial Node
C0037197,bpoc,Structure of sinus of Valsalva
C0037303,bpoc,Bone structure of cranium
C0037658,bpoc,Somatosensory Cortex
C0037855,bpoc,Spermatic Cord
C0037925,bpoc,Spinal Cord
C0037940,bpoc,Spinal nerve root structure
C0037941,bpoc,Spinal nerve structure
C0037949,bpoc,Vertebral column
C0037959,bpoc,Structure of spiral ganglion
C0037991,bpoc,Splanchnic Nerves
C0037993,bpoc,Spleen
C0038001,bpoc,Structure of splenic vein
C0038152,bpoc,Stapes
C0038246,bpoc,Structure of stellate ganglion
C0038293,bpoc,Sternum
C0038351,bpoc,Stomach
C0038445,bpoc,Stria Vascularis
C0038543,bpoc,Subfornical Organ
C0038553,bpoc,Sublingual Gland
C0038556,bpoc,Submandibular gland
C0038564,bpoc,Submucous Plexus
C0038588,bpoc,Substantia Gelatinosa
C0038589,bpoc,Substantia innominata
C0038866,bpoc,Structure of suprachiasmatic nucleus
C0038879,bpoc,Structure of sural nerve
C0038925,bpoc,Surgical Flaps
C0038989,bpoc,Sweat Glands
C0039099,bpoc,Synovial Membrane
C0039259,bpoc,Tail
C0039277,bpoc,Talus
C0039316,bpoc,Tarsal Bones
C0039337,bpoc,Taste Buds
C0039441,bpoc,Tegmentum Mesencephali
C0039452,bpoc,Telencephalon
C0039482,bpoc,Temporal Arteries
C0039485,bpoc,Temporal Lobe
C0039487,bpoc,Structure of temporalis muscle
C0039508,bpoc,Tendon structure
C0039597,bpoc,Testis
C0039727,bpoc,Thalamic Nuclei
C0039728,bpoc,Structure of thalamostriate vein
C0039729,bpoc,Thalamic structure
C0039979,bpoc,Thoracic Duct
C0039983,bpoc,Structure of thoracic nerve
C0039987,bpoc,Bone structure of thoracic vertebra
C0040067,bpoc,Thumb structure
C0040113,bpoc,Thymus Gland
C0040132,bpoc,Thyroid Gland
C0040184,bpoc,Bone structure of tibia
C0040357,bpoc,Toes
C0040408,bpoc,Tongue
C0040421,bpoc,Palatine Tonsil
C0040426,bpoc,Tooth structure
C0040452,bpoc,Tooth root structure
C0040578,bpoc,Trachea
C0040748,bpoc,Transplanted skin
C0040995,bpoc,Structure of trigeminal ganglion
C0040996,bpoc,Trigeminal nerve structure
C0040999,bpoc,Trigeminal Nuclei
C0041445,bpoc,Tympanic membrane structure
C0041602,bpoc,Structure of ulnar nerve
C0041951,bpoc,Ureter
C0041967,bpoc,Urethra
C0042027,bpoc,Urinary tract
C0042149,bpoc,Uterus
C0042158,bpoc,Utricle structure
C0042160,bpoc,Uvea
C0042232,bpoc,Vagina
C0042276,bpoc,Vagus nerve structure
C0042360,bpoc,Vas deferens structure
C0042366,bpoc,Vasa Nervorum
C0042449,bpoc,Veins
C0042458,bpoc,Inferior vena cava structure
C0042459,bpoc,Superior vena cava structure
C0042460,bpoc,Vena cava structure
C0042520,bpoc,Structure of venule
C0042559,bpoc,Structure of vertebral artery
C0042598,bpoc,Vestibular Nerve
C0042600,bpoc,Vestibular nucleus structure
C0042640,bpoc,Vibrissae
C0042779,bpoc,Viscera
C0042817,bpoc,Visual Cortex
C0042829,bpoc,Visual Pathways
C0042905,bpoc,Vitreous body structure
C0042930,bpoc,Vocal cord structure
C0042993,bpoc,Vulva
C0043074,bpoc,Wattles
C0043189,bpoc,Wing
C0043356,bpoc,Structure of xiphoid process of sternum
